"Predictor","B","SE","Beta","CI_95","VIF"
"Employer Support","0.654","0.098","0.542***","[0.456, 0.852]","1.78"
"University Support","0.298","0.112","0.221*","[0.072, 0.524]","1.65"
"Autonomy Level","0.089","0.145","0.087","[-0.203, 0.381]","1.12"
