"Variable","V1","V2","V3","V4","V5","V6"
"1. Autonomy Level","—","","","","",""
"2. Self-Directed Learning","0.221","—","","","",""
"3. Employer Support","0.156","0.713***","—","","",""
"4. University Support","0.189","0.650***","0.567***","—","",""
"5. Skill Application","0.203","0.689***","0.745***","0.612***","—",""
"6. Learning Integration","0.178","0.634***","0.678***","0.701***","0.723***","—"
