"Variable","Mean","SD","Range","Cronbach_Alpha"
"Autonomy Level","3.89","0.88","2-5","0.84"
"Self-Directed Learning","3.46","0.67","2.2-4.8","0.88"
"Employer Support","3.72","1.12","1-5","0.94"
"University Support","3.58","1.05","1-5","0.94"
"Skill Application","3.65","0.89","2-5","0.91"
"Learning Integration","3.53","0.94","1.5-5","0.87"
