"Characteristic","N","Percentage"
"Total Sample","46","100.0"
"","",""
"Institution","",""
"  University of the West of Scotland","32","69.6"
"  University of Glasgow","14","30.4"
"","",""
"Status","",""
"  Current Apprentices","27","58.7"
"  Alumni","19","41.3"
"","",""
"Discipline","",""
"  Engineering","18","39.1"
"  Information Technology","15","32.6"
"  Business Management","13","28.3"
